rank,date,artist,title,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms,time_signature,bx_speechiness,bx_acousticness,lg_liveness,pc1,pc2,cluster
47,2017-01-01,J. Cole,Neighbors,"317,884",0.898,0.28300000000000003,6.0,-12.335,0.0,0.35600000000000004,0.319,0.11,0.469,138.97,spotify:track:0utlOiJy2weVl9WTkcEWHy,216520.0,4.0,-1.1183346848477347,-1.0038290212722731,-2.2072749131897207,2.116696378043355,-1.2097064320844102,3
48,2017-01-01,Rihanna,Work,"316,050",0.725,0.534,11.0,-6.2379999999999995,1.0,0.0946,0.0752,0.0919,0.5579999999999999,91.97399999999999,spotify:track:72TFWvU3wUYdUuxejTTIzt,219320.0,4.0,-2.8362135303038727,-1.9462007375886874,-2.387054249620496,0.008127686742821449,-0.6967799392263364,5
50,2017-01-01,Rae Sremmurd,Swang,"308,264",0.6809999999999999,0.314,8.0,-9.318999999999999,1.0,0.0581,0.2,0.1,0.166,139.99200000000002,spotify:track:6mapJIPnQ23RTAevUoE0DL,208120.0,4.0,-3.5604302388436775,-1.3434100838502194,-2.3025850929940455,1.6422956667115438,-0.40975472371977983,3
51,2017-01-01,The Weeknd,Six Feet Under,"307,482",0.772,0.504,6.0,-8.219,0.0,0.0761,0.129,0.125,0.244,140.035,spotify:track:4mU5iXHeLgbR94siF7p1sY,237573.0,4.0,-3.152870178349306,-1.6305801766146972,-2.0794415416798357,0.6990002262133382,-0.38495621117068396,5
53,2017-01-01,Adele,Send My Love (To Your New Lover),"302,383",0.69,0.524,6.0,-8.39,0.0,0.10300000000000001,0.0415,0.17,0.562,164.023,spotify:track:4BHzQ9C00ceJxfG16AlNWb,223080.0,4.0,-2.715241329193524,-2.251103952738506,-1.7719568419318752,0.3220403158384012,-0.059607794600075176,1
54,2017-01-01,John Legend,Love Me Now,"301,472",0.488,0.762,8.0,-3.842,1.0,0.0865,0.591,0.0763,0.7090000000000001,123.889,spotify:track:6nxQdXa1uAL0rY72wPZu89,210293.0,4.0,-2.9652023734325152,-0.4951554056920143,-2.573082340691726,-0.7576440101682097,-0.18106312018368753,4
55,2017-01-01,Justin Bieber,Love Yourself,"300,179",0.609,0.37799999999999995,4.0,-9.828,1.0,0.43799999999999994,0.835,0.28,0.515,100.41799999999999,spotify:track:50kpGaPAhYJ3sGmk6vplg0,233720.0,4.0,-0.879582675271841,-0.17660826383574038,-1.2729656758128873,1.6181597900435272,0.5624038385877296,3
56,2017-01-01,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"299,010",0.807,0.887,1.0,-3.892,1.0,0.275,0.00381,0.391,0.78,160.517,spotify:track:1lItf5ZXJc1by9SbPeljFd,144244.0,4.0,-1.4263963671087656,-3.1285164663657365,-0.9390477189967712,-2.1929524501166395,0.49175448866872556,2
57,2017-01-01,Drake,Jumpman,"297,396",0.852,0.5529999999999999,1.0,-7.2860000000000005,1.0,0.187,0.0559,0.332,0.6559999999999999,142.079,spotify:track:27GmP9AWRs744SzKcpJsTZ,205879.0,4.0,-1.909730112956748,-2.103570941604943,-1.1026203100656484,-0.20943752264120807,0.11742893493551558,1
58,2017-01-01,The Weeknd,Sidewalks,"295,550",0.542,0.72,1.0,-5.136,0.0,0.0628,0.147,0.348,0.623,149.828,spotify:track:4h90qkbnW1Qq6pBhoPvwko,231360.0,4.0,-3.4412370873038074,-1.5480688722300968,-1.0555527992076628,-0.7461060109751668,1.2007351171508212,2
59,2017-01-01,The Jackson 5,I Want You Back,"284,664",0.469,0.5379999999999999,8.0,-13.559000000000001,1.0,0.0571,0.305,0.37,0.8859999999999999,196.605,spotify:track:5LxvwujISqiB8vpRYv887S,176333.0,4.0,-3.587225518513883,-1.0380910691938225,-0.9942522733438669,1.679748273970985,1.1667083791281905,6
60,2017-01-01,DNCE,Cake By The Ocean,"282,236",0.774,0.753,4.0,-5.445,0.0,0.0517,0.153,0.0371,0.8959999999999999,119.00200000000001,spotify:track:76hfruVvmfQbw0eYn1nmeC,219147.0,4.0,-3.7419214455515015,-1.5222943204307138,-3.2941383093687477,-0.8116833399848842,-1.750542898953333,4
61,2017-01-01,Future,Low Life (feat. The Weeknd),"278,813",0.722,0.331,8.0,-7.789,1.0,0.0725,0.337,0.146,0.102,143.974,spotify:track:7EiZI6JVHllARrX9PUvAdX,313547.0,4.0,-3.2248276041235,-0.961435873597844,-1.9241486572738007,1.2718587442572,-0.10810009842702525,3
62,2017-01-01,Travis Scott,goosebumps,"276,401",0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.149,0.43,130.049,spotify:track:6gBFPUFcJLzWGx4lenP6h2,243837.0,4.0,-3.8459253331922256,-1.8799753679431987,-1.903808973036678,-1.2447566105295131,-0.3082839125558396,4
63,2017-01-01,Childish Gambino,Redbone,"272,870",0.743,0.34700000000000003,1.0,-11.174000000000001,1.0,0.121,0.16699999999999998,0.10300000000000001,0.5720000000000001,160.143,spotify:track:0wXuerDYiBnERgIpbb3JBR,326933.0,4.0,-2.4904523748666283,-1.465043362563096,-2.2730262907525014,1.6190082042701577,-0.8196053636378821,3
64,2017-01-01,Steve Aoki,Just Hold On,"272,841",0.647,0.932,11.0,-3.517,1.0,0.083,0.0037700000000000003,0.0574,0.387,115.0,spotify:track:508oFmt92FyICj6pZiWQwC,198774.0,4.0,-3.0253158907982898,-3.131416273294446,-2.8577109756566164,-1.7175083657119927,-0.6467495550899846,4
