artist,total_days,median_danceability,median_energy,median_loudness,median_speechiness,median_acousticness,median_liveness,median_valence,median_tempo,cluster
Kid Cudi,10.0,0.6729999999999999,0.61,-8.386000000000001,0.191,0.606,0.116,0.759,152.062,7
MiC LOWRY,24.0,0.279,0.773,-6.718,0.0554,0.0194,0.0762,0.354,95.971,8
Keith Urban,60.0,0.6855,0.617,-6.891,0.0418,0.3397,0.1505,0.6164999999999999,107.23000000000002,3
Alok,52.0,0.778,0.463,-7.603,0.0389,0.546,0.0731,0.496,121.999,7
The Lumineers,55.0,0.647,0.43999999999999995,-8.3145,0.03365,0.681,0.1007,0.3675,90.8995,0
Nause,12.0,0.8109999999999999,0.8009999999999999,-6.0,0.0802,0.0548,0.0742,0.693,105.055,1
Eminem,1627.0,0.7475,0.745,-5.3015,0.277,0.09455,0.2925,0.5175000000000001,114.2175,9
State of Sound,7.0,0.706,0.674,-6.977,0.0337,0.11,0.0784,0.545,113.956,8
KREAM,37.0,0.675,0.937,-3.525,0.0509,0.152,0.154,0.5670000000000001,103.961,1
X Ambassadors,15.0,0.48800000000000004,0.6035,-7.0225,0.0492,0.08970000000000002,0.1033,0.28500000000000003,103.523,8
Panic! At The Disco,867.0,0.517,0.878,-2.729,0.0784,0.0375,0.21,0.602,126.444,9
James Bay,33.0,0.534,0.359,-9.039000000000001,0.03365,0.831,0.10400000000000001,0.3805,143.728,0
James Hersey,8.0,0.8740000000000001,0.5920000000000001,-7.677,0.0546,0.105,0.103,0.644,119.984,8
Khalid,5066.0,0.652,0.483,-8.575,0.0541,0.212,0.119,0.34600000000000003,105.03,7
Florida Georgia Line,444.0,0.453,0.882,-3.945,0.0433,0.0791,0.15,0.585,146.665,1
Isaiah,72.0,0.433,0.745,-4.632,0.0377,0.221,0.0981,0.588,95.472,8
MØ,58.0,0.729,0.6715,-5.069,0.06725,0.20750000000000002,0.2253,0.4235,112.524,9
A$AP Mob,115.0,0.821,0.5670000000000001,-5.944,0.245,0.135,0.117,0.333,128.09,8
Yo Gotti,350.0,0.8725,0.6335,-6.026,0.3005,0.01715,0.1335,0.49850000000000005,134.9845,1
Olivia Holt,112.0,0.767,0.631,-6.7620000000000005,0.0541,0.0997,0.119,0.541,100.968,8
Ed Sheeran,3149.0,0.68,0.649,-5.774,0.0522,0.251,0.123,0.596,99.943,8
Tyga,719.0,0.8865000000000001,0.5814999999999999,-5.805000000000001,0.20800000000000002,0.0303,0.1185,0.4085,102.001,8
Stanaj,67.0,0.7509999999999999,0.647,-7.887,0.241,0.211,0.265,0.355,104.022,9
Sam Hunt,656.0,0.635,0.644,-5.853,0.0471,0.23,0.135,0.413,105.941,8
Snakehips,90.0,0.6725,0.7484999999999999,-3.9935,0.1325,0.161,0.2995,0.467,150.50549999999998,9
The xx,15.0,0.675,0.63,-8.277000000000001,0.03855,0.395,0.118,0.31599999999999995,125.52600000000001,7
Andrew McMahon in the Wilderness,1.0,0.593,0.898,-4.0539999999999985,0.0616,0.0476,0.0906,0.7559999999999999,120.019,1
August Alsina,1.0,0.411,0.327,-11.306,0.0827,0.6990000000000001,0.121,0.14400000000000002,118.435,0
Lauv,1651.0,0.6950000000000001,0.5075000000000001,-7.460000000000001,0.07035,0.3115,0.11499999999999999,0.355,120.14099999999999,7
Joey Bada$$,109.0,0.693,0.703,-5.419,0.198,0.378,0.133,0.418,100.986,8
Ryan Gosling,4.0,0.4920000000000001,0.116,-15.15,0.0379,0.899,0.0889,0.434,111.787,5
A R I Z O N A,75.0,0.6629999999999999,0.6579999999999999,-7.414,0.045,0.118,0.123,0.329,99.972,8
Halsey,1483.0,0.626,0.585,-6.103,0.0705,0.13699999999999998,0.131,0.447,129.966,8
Life of Dillon,1.0,0.852,0.601,-4.917,0.0299,0.145,0.104,0.537,94.99,8
Tiësto,208.0,0.647,0.775,-4.09,0.045,0.157,0.0844,0.687,123.977,1
Grey,32.0,0.6970000000000001,0.767,-5.229,0.0949,0.368,0.119,0.679,102.034,8
Julia Michaels,575.0,0.654,0.467,-6.598,0.0639,0.401,0.0853,0.455,137.935,7
Kendrick Lamar,3460.0,0.6675,0.5835,-7.1995000000000005,0.2315,0.1375,0.1535,0.428,128.038,3
John Mayer,107.0,0.703,0.598,-7.778,0.0282,0.547,0.1,0.52,119.97,7
Wale,150.0,0.734,0.7225,-5.4215,0.20700000000000002,0.10064999999999999,0.16,0.6455,141.14249999999998,1
Maggie Rogers,6.0,0.7070000000000001,0.67,-6.1370000000000005,0.0357,0.21,0.109,0.282,112.993,8
Marian Hill,102.0,0.6779999999999999,0.35700000000000004,-14.712,0.128,0.675,0.124,0.0661,113.301,5
Sabrina Carpenter,154.0,0.72,0.659,-4.727,0.0478,0.0588,0.0671,0.5670000000000001,105.955,1
XXXTENTACION,7221.0,0.726,0.481,-8.024,0.109,0.461,0.111,0.405,127.08,7
Thomas Gold,37.0,0.629,0.882,-5.231,0.0449,0.0502,0.0971,0.436,105.004,1
Kehlani,199.0,0.61,0.638,-5.353,0.15,0.259,0.196,0.514,118.004,3
Beyoncé,108.0,0.484,0.535,-8.37,0.085,0.272,0.196,0.35600000000000004,105.742,7
Jon Pardi,303.0,0.63,0.7959999999999999,-4.1789999999999985,0.0285,0.0963,0.197,0.618,95.999,9
Rick Ross,71.0,0.533,0.74,-5.138,0.263,0.012799999999999999,0.2625,0.33099999999999996,86.65599999999998,9
6LACK,676.0,0.6279999999999999,0.4525,-10.05,0.197,0.3815,0.1305,0.213,124.038,0
Imagine Dragons,1972.0,0.587,0.6765000000000001,-5.814,0.0561,0.026250000000000002,0.134,0.29800000000000004,129.477,8
Blake Shelton,121.0,0.5449999999999999,0.8225,-4.8495,0.03895,0.0383,0.11149999999999999,0.497,151.96599999999998,1
Guns N' Roses,1.0,0.446,0.952,-5.3210000000000015,0.0523,0.0901,0.112,0.624,125.303,1
Aaron Carter,64.0,0.737,0.731,-6.787000000000001,0.0358,0.12,0.0731,0.435,111.955,8
Tee Grizzley,683.0,0.851,0.7040000000000001,-6.382999999999999,0.233,0.237,0.149,0.56,99.061,3
Ayo & Teo,268.0,0.804,0.8859999999999999,-2.512,0.04,0.0837,0.266,0.789,144.946,9
Lady Gaga,657.0,0.6759999999999999,0.7390000000000001,-5.1080000000000005,0.0409,0.075,0.133,0.516,119.001,1
A$AP Rocky,486.0,0.655,0.632,-7.676,0.238,0.299,0.138,0.355,135.391,7
Little Big Town,6.0,0.514,0.836,-3.663,0.0381,0.112,0.0878,0.501,143.888,1
Journey,56.0,0.491,0.802,-7.106,0.0392,0.25,0.387,0.472,119.25,6
Oasis,2.0,0.3720000000000001,0.865,-4.918,0.0381,0.000453,0.234,0.478,174.53,9
Sam Smith,1113.0,0.5505,0.3905,-8.1735,0.04325,0.602,0.1205,0.3325,106.94649999999999,0
Hozier,55.0,0.511,0.5745,-5.553,0.0416,0.14650000000000002,0.113,0.48350000000000004,114.16749999999999,8
Katy Perry,345.0,0.746,0.7725,-5.594500000000001,0.0615,0.1345,0.11549999999999999,0.5675,122.013,1
Axwell /\ Ingrosso,140.0,0.6445,0.8045,-4.5015,0.092,0.16375,0.2155,0.6405000000000001,118.98599999999999,9
MAX,194.0,0.687,0.792,-5.622000000000001,0.0929,0.0632,0.104,0.7709999999999999,145.034,1
Roy Woods,6.0,0.711,0.462,-7.1320000000000014,0.055,0.476,0.108,0.294,84.04,7
Thomas Rhett,875.0,0.6025,0.6855,-5.783,0.032,0.028749999999999998,0.14950000000000002,0.6245,112.00800000000001,3
Nick Jonas,15.0,0.664,0.6385000000000001,-5.348000000000001,0.11635000000000001,0.0732,0.08715,0.421,108.4225,8
Prince,4.0,0.6325000000000001,0.36150000000000004,-11.33,0.06085,0.024399999999999998,0.36755000000000004,0.4655,112.2755,2
Ellie Goulding,580.0,0.6154999999999999,0.7505,-5.6739999999999995,0.056400000000000006,0.181,0.17350000000000002,0.5130000000000001,127.01499999999999,3
Bon Iver,8.0,0.453,0.362,-11.154000000000002,0.0441,0.8440000000000001,0.127,0.181,125.068,0
Christina Perri,1.0,0.421,0.407,-7.445,0.0267,0.309,0.11,0.161,139.028,7
TLC,1.0,0.743,0.675,-4.267,0.0953,0.0251,0.0685,0.59,92.909,1
Vance Joy,7.0,0.6375,0.7050000000000001,-6.3065,0.035,0.4155,0.12525,0.48650000000000004,109.11000000000001,8
Passenger,2.0,0.479,0.545,-7.346,0.0688,0.365,0.0963,0.243,74.89699999999998,7
The Goo Goo Dolls,1.0,0.315,0.715,-8.072000000000001,0.0362,0.00125,0.0942,0.4970000000000001,155.925,8
Ben Howard,1.0,0.545,0.485,-9.941,0.151,0.3,0.119,0.341,80.40100000000002,7
Jack Johnson,1.0,0.868,0.34700000000000003,-9.529,0.0536,0.308,0.11,0.659,110.059,7
Kygo,915.0,0.685,0.66,-6.519,0.0748,0.193,0.11,0.434,114.011,8
