peak_rank,median_rank,days,peak_streams,median_streams,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
61.0,142.0,5.0,508847.0,210173.0,Daryl Hall & John Oates,Rich Girl,0.573,0.6829999999999999,5.0,-6.644,1.0,0.17600000000000002,0.461,0.0,0.0935,0.8170000000000001,169.519,spotify:track:0qRR9d89hIS0MHRkQ0ejxX,142787.0,4.0
76.0,166.0,160.0,291826.0,186705.5,Lil Uzi Vert,Erase Your Social,0.705,0.609,3.0,-5.728,1.0,0.0729,0.6940000000000001,0.0,0.234,0.718,140.058,spotify:track:4uhvMW7ly7tJil31YYscAN,199993.0,4.0
89.0,167.0,53.0,236465.0,167040.0,Flume,Never Be Like You,0.444,0.557,0.0,-5.476,1.0,0.0602,0.453,0.0,0.152,0.29600000000000004,115.058,spotify:track:5WI2ltQIdwgzf1SNE76JyR,234910.0,4.0
63.0,89.0,13.0,272236.0,208294.0,Nevada,The Mack,0.711,0.882,0.0,-4.276,1.0,0.0576,0.0626,0.0,0.226,0.56,106.017,spotify:track:2fUZ3aMp8amSaV0mp8s6rQ,167038.0,4.0
102.0,162.0,37.0,205831.0,164684.0,Kiiara,Gold,0.6,0.412,8.0,-9.343,1.0,0.344,0.615,0.0025,0.134,0.408,113.049,spotify:track:6ZSO7kPn8IMJFymyticbJO,225882.0,5.0
79.0,164.0,395.0,266712.0,198729.0,Bryson Tiller,Exchange,0.53,0.433,6.0,-10.598,1.0,0.185,0.108,0.0,0.135,0.274,160.14,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,194613.0,4.0
88.0,136.0,7.0,390030.0,238705.0,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,0.6409999999999999,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078,spotify:track:3bidbhpOYeV4knp8AIu8Xn,258343.0,4.0
89.0,145.0,7.0,385848.0,226943.0,Daryl Hall & John Oates,You Make My Dreams,0.7509999999999999,0.501,5.0,-12.151,1.0,0.0552,0.234,0.112,0.0467,0.902,167.058,spotify:track:4o6BgsqLIBViaGVbx5rbRk,190627.0,4.0
75.0,168.0,187.0,265020.0,200022.0,The Weeknd,Die For You,0.5820000000000001,0.525,1.0,-7.1629999999999985,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,260253.0,4.0
46.0,136.0,232.0,369261.0,220482.0,PnB Rock,Selfish,0.638,0.6,1.0,-5.84,0.0,0.0438,0.114,0.0,0.187,0.0399,101.981,spotify:track:2xbI8Vmyv3TkpTdywpPyNw,245604.0,4.0
26.0,79.0,226.0,488705.0,249015.0,AJR,Weak,0.67,0.643,5.0,-4.553,1.0,0.0465,0.118,0.0,0.192,0.703,123.979,spotify:track:5DZwnLxHjWTZaz9jOpRhxb,201159.0,4.0
81.0,148.0,166.0,266307.0,208358.5,PARTYNEXTDOOR,Come and See Me (feat. Drake),0.7170000000000001,0.34700000000000003,11.0,-10.265,0.0,0.0636,0.0511,2.43e-06,0.087,0.0589,84.98700000000002,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,235477.0,4.0
