rank,date,artist,title,max_streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
58,2017-01-01,The Weeknd,Sidewalks,373087,0.542,0.72,1.0,-5.136,0.0,0.0628,0.147,0.0,0.348,0.623,149.828,spotify:track:4h90qkbnW1Qq6pBhoPvwko,231360.0,4.0
59,2017-01-01,The Jackson 5,I Want You Back,372515,0.469,0.5379999999999999,8.0,-13.559000000000001,1.0,0.0571,0.305,0.00011999999999999999,0.37,0.8859999999999999,196.605,spotify:track:5LxvwujISqiB8vpRYv887S,176333.0,4.0
60,2017-01-01,DNCE,Cake By The Ocean,282236,0.774,0.753,4.0,-5.445,0.0,0.0517,0.153,0.0,0.0371,0.8959999999999999,119.00200000000001,spotify:track:76hfruVvmfQbw0eYn1nmeC,219147.0,4.0
61,2017-01-01,Future,Low Life (feat. The Weeknd),349433,0.722,0.331,8.0,-7.789,1.0,0.0725,0.337,0.28300000000000003,0.146,0.102,143.974,spotify:track:7EiZI6JVHllARrX9PUvAdX,313547.0,4.0
62,2017-01-01,Travis Scott,goosebumps,783729,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,spotify:track:6gBFPUFcJLzWGx4lenP6h2,243837.0,4.0
63,2017-01-01,Childish Gambino,Redbone,952412,0.743,0.34700000000000003,1.0,-11.174000000000001,1.0,0.121,0.16699999999999998,0.00951,0.10300000000000001,0.5720000000000001,160.143,spotify:track:0wXuerDYiBnERgIpbb3JBR,326933.0,4.0
64,2017-01-01,Steve Aoki,Just Hold On,431233,0.647,0.932,11.0,-3.517,1.0,0.083,0.0037700000000000003,1.69e-06,0.0574,0.387,115.0,spotify:track:508oFmt92FyICj6pZiWQwC,198774.0,4.0
65,2017-01-01,Michael Jackson,Billie Jean,319582,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,spotify:track:5ChkMS8OtdzJeqyybCc9R5,293827.0,4.0
66,2017-01-01,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),493031,0.72,0.763,9.0,-4.0680000000000005,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,spotify:track:5knuzwU65gJK7IF5yJsuaW,251088.0,4.0
67,2017-01-01,J. Cole,Immortal,329574,0.7440000000000001,0.43,3.0,-10.604000000000001,0.0,0.309,0.455,2.73e-06,0.126,0.266,92.039,spotify:track:6AGON2BGdPmPMJGiiNuuwl,201667.0,4.0
68,2017-01-01,Twenty One Pilots,Ride,539981,0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.5660000000000001,74.98899999999999,spotify:track:2Z8WuEywRWYTKe1NybPQEW,214507.0,4.0
69,2017-01-01,Marvin Gaye,Ain't No Mountain High Enough,513783,0.6629999999999999,0.6,7.0,-10.87,1.0,0.032,0.43,0.0,0.184,0.8,129.991,spotify:track:7tqhbajSfrz2F7E1Z75ASX,151667.0,4.0
70,2017-01-01,Lil Uzi Vert,Money Longer,309609,0.795,0.568,5.0,-7.817,0.0,0.142,0.0541,0.0,0.10800000000000001,0.478,136.173,spotify:track:0B8QzDH7YWih85V5SEMnyJ,198944.0,4.0
71,2017-01-01,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",274065,0.502,0.7859999999999999,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.7390000000000001,169.021,spotify:track:4dASQiO1Eoo3RJvt74FtXB,243491.0,4.0
72,2017-01-01,J. Cole,No Role Modelz,395456,0.696,0.521,10.0,-8.465,0.0,0.332,0.302,0.0,0.0565,0.45799999999999996,100.0,spotify:track:62vpWI1CHwFy7tMIcSStl8,292987.0,4.0
73,2017-01-01,Future,Used to This (feat. Drake),324324,0.618,0.727,3.0,-7.224,0.0,0.20800000000000002,0.0312,0.0,0.196,0.401,164.99200000000002,spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,180520.0,4.0
74,2017-01-01,Shakira,Chantaje (feat. Maluma),337603,0.852,0.773,8.0,-2.9210000000000003,0.0,0.0776,0.187,3.05e-05,0.159,0.907,102.03399999999999,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,195840.0,4.0
75,2017-01-01,Foster The People,Pumped Up Kicks,265140,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,239600.0,4.0
76,2017-01-01,G-Eazy,Some Kind Of Drug (feat. Marc E. Bassy),431750,0.586,0.525,0.0,-8.968,1.0,0.498,0.0705,0.0,0.0729,0.491,126.51,spotify:track:1Bqxj0aH5KewYHKUg1IdrF,222467.0,4.0
77,2017-01-01,DJ ESCO,Too Much Sauce (feat. Future & Lil Uzi Vert),243883,0.96,0.547,6.0,-6.992000000000001,0.0,0.0786,0.0496,0.0,0.21600000000000003,0.18600000000000003,121.01,spotify:track:5oyUurs28XRagLa8lgm6V3,223093.0,4.0
78,2017-01-01,Sage The Gemini,Now and Later,355786,0.7809999999999999,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,spotify:track:08WPvDEsHvTFuB9w8tC2OS,193181.0,4.0
79,2017-01-01,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,233185,0.6629999999999999,0.713,7.0,-6.647,0.0,0.11199999999999999,0.0353,7.68e-06,0.0843,0.69,101.965,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,197933.0,4.0
80,2017-01-01,Pharrell Williams,"Happy - From ""Despicable Me 2""",233169,0.647,0.8220000000000001,5.0,-4.662,0.0,0.183,0.21899999999999997,0.0,0.0908,0.9620000000000001,160.019,spotify:track:60nZcImufyMA1MKQY3dcCH,232720.0,4.0
81,2017-01-01,The Weeknd,Reminder,294006,0.706,0.505,8.0,-6.922999999999999,1.0,0.193,0.142,0.0,0.16399999999999998,0.38799999999999996,160.053,spotify:track:37F0uwRSrdzkBiuj0D5UHI,218880.0,4.0
