artist,days,median danceability,median energy,median loudness,median speechiness,median acousticness,median liveness,median valence,median tempo,pc1,pc2,cluster
A Boogie Wit da Hoodie,2130.0,0.729,0.6165,-6.531499999999999,0.165,0.2365,0.11349999999999999,0.4445,128.8375,-0.4089021481496871,-0.5121192466267681,5
Marc E. Bassy,33.0,0.496,0.6395,-7.1265,0.304,0.07715,0.13065,0.657,90.912,-0.05890644183566143,-0.27024885455371395,5
The Clash,2.0,0.742,0.833,-6.462999999999999,0.115,0.079,0.384,0.816,113.375,2.916514703003305,1.2990994274857797,7
Vice,102.0,0.779,0.6509999999999999,-5.829,0.0814,0.0601,0.115,0.65,104.95299999999999,0.04302743478731911,-1.0237909630343958,2
Otis Redding,1.0,0.883,0.46399999999999997,-11.251,0.0591,0.27899999999999997,0.0744,0.925,111.54799999999999,-1.7237793346381804,0.08758654247405213,1
Fetty Wap,8.0,0.6819999999999999,0.795,-4.7705,0.223,0.01348,0.4895,0.71,169.0625,4.323311187109101,1.904178295453121,7
Chris Brown,748.0,0.6904999999999999,0.6225,-5.481999999999999,0.11080000000000001,0.12100000000000001,0.125,0.483,114.36500000000001,-0.012417723666798849,-0.7565087810917965,5
Jonas Blue,254.0,0.693,0.789,-3.9845000000000006,0.03725,0.19499999999999998,0.08985,0.601,105.03999999999999,0.07638634520562246,-1.5129253706798185,2
Bebe Rexha,1172.0,0.63,0.618,-5.9079999999999995,0.052000000000000005,0.047,0.10400000000000001,0.401,97.005,-0.31167735906296656,-0.8900621323485672,5
Hearts & Colors,55.0,0.595,0.662,-6.858,0.0362,0.0178,0.0804,0.41700000000000004,96.053,-0.5914653449794512,-1.0075728559297314,5
Kevin Gates,40.0,0.731,0.7035,-5.347,0.1683,0.04575,0.1325,0.45199999999999996,138.953,0.4162680450818771,-1.0073495589978125,2
2 Chainz,954.0,0.7959999999999999,0.615,-5.209,0.239,0.155,0.135,0.344,125.101,0.15235693853402804,-0.7148283238027782,2
Sam Cooke,1.0,0.7709999999999999,0.522,-12.193,0.0368,0.5710000000000001,0.145,0.94,128.641,-1.5316647430178831,1.3493879750667315,1
R. Kelly,10.0,0.795,0.523,-7.165,0.0423,0.061,0.0914,0.855,133.024,-0.5211272485766114,-0.8994282641911827,5
Phil Collins,1.0,0.619,0.934,-4.604,0.0336,0.0253,0.102,0.792,97.50200000000001,0.6273075403055396,-1.7216849696227274,2
DJ Khaled,977.0,0.584,0.76,-4.706,0.245,0.0397,0.225,0.498,102.946,1.4666142900573984,-0.18589763668762796,4
Gucci Mane,1390.0,0.8335,0.5760000000000001,-6.2075,0.1775,0.07239999999999999,0.11,0.4195,139.9915,-0.1715286346675133,-0.9079571573365559,5
Niall Horan,511.0,0.5920000000000001,0.555,-6.5489999999999995,0.0368,0.0395,0.11599999999999999,0.392,100.051,-0.42763470151476063,-0.5498216115887107,5
Robin Schulz,69.0,0.5680000000000001,0.7985,-5.638,0.0789,0.11499999999999999,0.1915,0.5814999999999999,122.00450000000001,0.9106914788077223,-0.31417801874475076,4
DVBBS,55.0,0.7490000000000001,0.747,-6.457000000000001,0.121,0.0938,0.256,0.475,109.06299999999999,1.3708091772807474,0.3506326786517159,4
VÉRITÉ,43.0,0.674,0.593,-6.47,0.0582,0.201,0.209,0.46399999999999997,116.995,0.4247621689888336,0.36695537455505334,4
Martin Jensen,128.0,0.746,0.846,-2.432,0.048,0.0485,0.195,0.40299999999999997,114.955,1.6143446455091832,-1.1874802675711353,2
Kid Cudi,10.0,0.6729999999999999,0.61,-8.386000000000001,0.191,0.606,0.11599999999999999,0.759,152.062,-1.0599432736077166,0.41073658227755383,1
MiC LOWRY,24.0,0.27899999999999997,0.773,-6.718,0.0554,0.0194,0.0762,0.354,95.971,-0.5546875287841861,-0.9263406445519656,5
Keith Urban,60.0,0.6855,0.617,-6.891,0.0418,0.3397,0.1505,0.6164999999999999,107.23,-0.3186212669115119,0.0683975438889769,5
Alok,52.0,0.778,0.46299999999999997,-7.603,0.0389,0.546,0.0731,0.496,121.999,-1.736781526378704,-0.035923203700469364,1
The Lumineers,55.0,0.647,0.43999999999999995,-8.3145,0.03365,0.681,0.1007,0.36749999999999994,90.89950000000002,-1.9815009850190046,0.7846884173286055,1
Nause,12.0,0.8109999999999999,0.8009999999999999,-6.0,0.0802,0.0548,0.0742,0.693,105.055,-0.06798303432069627,-1.6286692182982176,2
Eminem,1627.0,0.7475,0.745,-5.3015,0.277,0.09455,0.2925,0.5175000000000001,114.2175,2.0287084825569677,0.4833114633184143,4
State of Sound,7.0,0.706,0.674,-6.977,0.0337,0.11,0.0784,0.545,113.956,-0.6122673550543255,-1.0302358220549976,5
KREAM,37.0,0.675,0.937,-3.525,0.0509,0.152,0.154,0.5670000000000001,103.961,1.0818411479156145,-1.2741517082882996,2
X Ambassadors,15.0,0.48800000000000004,0.6035,-7.0225,0.0492,0.08970000000000002,0.1033,0.285,103.523,-0.6827881198892074,-0.4550190492290324,5
Panic! At The Disco,867.0,0.517,0.878,-2.7289999999999996,0.0784,0.0375,0.21,0.602,126.444,1.808869810690468,-0.8980528139530535,4
James Bay,33.0,0.534,0.359,-9.039,0.03365,0.831,0.104,0.3805,143.728,-2.3788754372559797,1.3280815060651827,1
James Hersey,8.0,0.8740000000000001,0.5920000000000001,-7.6770000000000005,0.0546,0.105,0.10300000000000001,0.644,119.984,-0.49767967291042964,-0.740064661978954,5
Khalid,5066.0,0.652,0.483,-8.575,0.0541,0.212,0.11900000000000001,0.34600000000000003,105.03,-1.0767718642103064,0.18582282923686996,1
Florida Georgia Line,444.0,0.45299999999999996,0.882,-3.945,0.0433,0.0791,0.15,0.585,146.665,0.9613111310889405,-1.1287539019814448,2
Isaiah,72.0,0.433,0.745,-4.632,0.0377,0.221,0.0981,0.588,95.47200000000001,-0.19422279086008667,-0.954438929093732,5
MØ,58.0,0.729,0.6715,-5.069,0.06725,0.20750000000000002,0.2253,0.4235,112.524,0.9462351139936251,0.11058131035317535,4
A$AP Mob,115.0,0.821,0.5670000000000001,-5.944,0.245,0.135,0.11699999999999999,0.33299999999999996,128.09,-0.1839670285287035,-0.7243564597487323,5
Yo Gotti,350.0,0.8725,0.6335,-6.026,0.3005,0.017150000000000002,0.1335,0.49850000000000005,134.9845,0.38374018723382586,-0.91952201796043,2
Olivia Holt,112.0,0.767,0.631,-6.7620000000000005,0.0541,0.0997,0.11900000000000001,0.541,100.96799999999999,-0.2355795220676856,-0.687049062388403,5
Ed Sheeran,3149.0,0.68,0.649,-5.774,0.0522,0.251,0.12300000000000001,0.596,99.943,-0.23451825507521634,-0.5567220172847503,5
Tyga,719.0,0.8865000000000001,0.5814999999999999,-5.805,0.20800000000000002,0.0303,0.11850000000000001,0.4085,102.001,0.01801516522778901,-0.9650475117787761,2
Stanaj,67.0,0.7509999999999999,0.647,-7.8870000000000005,0.24100000000000002,0.21100000000000002,0.265,0.355,104.022,0.8977422483949792,1.084702491640279,4
Sam Hunt,656.0,0.635,0.644,-5.853,0.0471,0.23,0.135,0.413,105.941,-0.19767498213532805,-0.3917574262719425,5
Snakehips,90.0,0.6725,0.7484999999999999,-3.9935,0.1325,0.161,0.2995,0.46699999999999997,150.50549999999998,2.1387143121906673,0.3952264500445205,4
The xx,15.0,0.675,0.63,-8.277000000000001,0.03855,0.395,0.118,0.31599999999999995,125.52600000000001,-1.0090922036982934,0.14203859570265187,5
Andrew McMahon in the Wilderness,1.0,0.593,0.898,-4.053999999999999,0.0616,0.0476,0.0906,0.7559999999999999,120.01899999999999,0.5404289183417677,-1.8389283168628392,2
August Alsina,1.0,0.41100000000000003,0.327,-11.306,0.0827,0.6990000000000001,0.121,0.14400000000000002,118.435,-2.613402640131549,1.9572154091650773,3
Lauv,1651.0,0.6950000000000001,0.5075000000000001,-7.460000000000001,0.07035,0.3115,0.115,0.355,120.14099999999999,-0.9735172507834499,-0.0023496301557767935,5
Joey Bada$$,109.0,0.693,0.703,-5.419,0.198,0.37799999999999995,0.133,0.418,100.986,-0.13592525221194052,-0.36504873254589704,5
Ryan Gosling,4.0,0.49200000000000005,0.11599999999999999,-15.15,0.0379,0.899,0.0889,0.434,111.787,-4.0987169061875806,2.886629636363749,3
A R I Z O N A,75.0,0.6629999999999999,0.6579999999999999,-7.414,0.045,0.11800000000000001,0.12300000000000001,0.32899999999999996,99.97200000000001,-0.4168444755369565,-0.40245398884313344,5
Halsey,1483.0,0.626,0.585,-6.103,0.0705,0.13699999999999998,0.131,0.447,129.966,-0.18668026879888555,-0.4691978697050648,5
Life of Dillon,1.0,0.852,0.601,-4.917,0.0299,0.145,0.10400000000000001,0.537,94.99,-0.19036867274504837,-1.1305745025321718,2
Tiësto,208.0,0.647,0.775,-4.09,0.045,0.157,0.0844,0.687,123.977,0.08801857179873078,-1.5822598487118456,2
Grey,32.0,0.6970000000000001,0.767,-5.229,0.0949,0.368,0.11900000000000001,0.679,102.03399999999999,-0.06511463836818249,-0.7127562093701064,5
Julia Michaels,575.0,0.654,0.467,-6.598,0.0639,0.401,0.0853,0.455,137.935,-1.269302665366756,-0.24499460651044383,5
Kendrick Lamar,3460.0,0.6675,0.5835,-7.1995000000000005,0.2315,0.1375,0.1535,0.42800000000000005,128.038,-0.043901700704894894,-0.055102548992093395,5
John Mayer,107.0,0.703,0.598,-7.778,0.0282,0.547,0.1,0.52,119.97,-1.295121608666424,0.11034066709876383,1
Wale,150.0,0.734,0.7225,-5.4215,0.20700000000000002,0.10065,0.16,0.6455,141.14249999999998,0.7335486846830277,-0.7210006342400487,2
Maggie Rogers,6.0,0.7070000000000001,0.67,-6.1370000000000005,0.0357,0.21,0.109,0.282,112.993,-0.4375068864781345,-0.6975163611757876,5
Marian Hill,102.0,0.6779999999999999,0.35700000000000004,-14.712,0.128,0.675,0.124,0.0661,113.301,-2.9510107471851894,2.3330460414741534,3
Sabrina Carpenter,154.0,0.72,0.659,-4.727,0.0478,0.0588,0.0671,0.5670000000000001,105.955,-0.29995952015149063,-1.619112161538935,2
XXXTENTACION,7221.0,0.726,0.48100000000000004,-8.024,0.109,0.461,0.111,0.405,127.08,-1.2937086410797451,0.29980645125737765,1
Thomas Gold,37.0,0.629,0.882,-5.231,0.0449,0.0502,0.0971,0.436,105.00399999999999,0.22778872732541283,-1.4823537907521975,2
Kehlani,199.0,0.61,0.638,-5.353,0.15,0.259,0.196,0.514,118.00399999999999,0.5342724218814451,0.12756302982858733,4
Beyoncé,108.0,0.484,0.535,-8.37,0.085,0.272,0.196,0.35600000000000004,105.742,-0.33853641640891335,1.0216397627844893,1
Jon Pardi,303.0,0.63,0.7959999999999999,-4.178999999999999,0.0285,0.0963,0.19699999999999998,0.618,95.999,1.1874302736917273,-0.600739785702148,4
Rick Ross,71.0,0.533,0.74,-5.138,0.263,0.012799999999999999,0.2625,0.33099999999999996,86.65599999999999,1.6537630786947688,0.3303789359215651,4
6LACK,676.0,0.6279999999999999,0.4525,-10.05,0.197,0.3815,0.1305,0.21300000000000002,124.03800000000001,-1.4425705466953296,0.9259399953315658,1
Imagine Dragons,1972.0,0.587,0.6765000000000001,-5.814,0.0561,0.026250000000000002,0.134,0.29800000000000004,129.477,0.12450272558501557,-0.7418393674551601,2
Blake Shelton,121.0,0.5449999999999999,0.8225,-4.8495,0.03895,0.0383,0.1115,0.497,151.966,0.4025851735780891,-1.360423757163536,2
